Instrument Type				LS 6000							
Data Capture Date				18 Oct 2014 18:51:38							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADD19DB.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	4.0470	8240.00	8240.00	8240.00	0.99	8240.00	0.99	0.08	5.46
2	**-2	5.00	12.0100	76922.40	76922.40	76922.40	0.32	76922.40	0.32	0.02	12.75
3	**-3	5.00	12.0100	77744.80	77744.80	77744.80	0.32	77744.80	0.32	0.02	20.09
4	**-4	5.00	11.2900	74639.20	74639.20	74639.20	0.33	74639.20	0.33	0.00	27.41
5	**-5	5.00	11.3500	75239.80	75239.80	75239.80	0.33	75239.80	0.33	0.00	34.73
6	**-6	5.00	11.9600	75352.40	75352.40	75352.40	0.33	75352.40	0.33	0.02	42.03
7	**-7	5.00	12.0400	77940.00	77940.00	77940.00	0.32	77940.00	0.32	0.02	49.37
8	**-8	5.00	11.4500	75596.20	75596.20	75596.20	0.33	75596.20	0.33	0.00	56.71
9	**-9	5.00	11.3300	74244.40	74244.40	74244.40	0.33	74244.40	0.33	0.00	64.02
10	**-10	5.00	12.0300	76294.60	76294.60	76294.60	0.32	76294.60	0.32	0.02	71.35
11	**-11	5.00	12.0500	76150.60	76150.60	76150.60	0.32	76150.60	0.32	0.02	78.70
13	**-1	5.00	11.3900	73970.20	73970.20	73970.20	0.33	73970.20	0.33	0.00	86.26
14	**-2	5.00	4.1740	9067.40	9067.40	9067.40	0.94	9067.40	0.94	0.08	93.48
15	**-3	5.00	11.2300	74273.40	74273.40	74273.40	0.33	74273.40	0.33	0.00	100.76
16	**-4	5.00	18.0100	85173.40	85173.40	85173.40	0.31	85173.40	0.31	0.00	108.13
17	**-5	5.00	17.9000	87059.00	87059.00	87059.00	0.30	87059.00	0.30	0.00	115.52
18	**-6	5.00	17.1200	83561.80	83561.80	83561.80	0.31	83561.80	0.31	0.00	122.91
19	**-7	5.00	17.1600	86913.20	86913.20	86913.20	0.30	86913.20	0.30	0.00	130.29
20	**-8	5.00	18.0200	85972.60	85972.60	85972.60	0.31	85972.60	0.31	0.00	137.67
21	**-9	5.00	18.0800	89550.40	89550.40	89550.40	0.30	89550.40	0.30	0.00	145.07
22	**-10	5.00	17.3600	85465.80	85465.80	85465.80	0.31	85465.80	0.31	0.00	152.46
23	**-11	5.00	17.2600	81808.40	81808.40	81808.40	0.31	81808.40	0.31	0.00	159.82
25	**-1	5.00	17.9900	83255.80	83255.80	83255.80	0.31	83255.80	0.31	0.00	167.46
26	**-2	5.00	18.1000	85646.00	85646.00	85646.00	0.31	85646.00	0.31	0.00	174.85
27	**-3	5.00	4.1970	8562.60	8562.60	8562.60	0.97	8562.60	0.97	0.08	182.08
28	**-4	5.00	17.2200	77844.20	77844.20	77844.20	0.32	77844.20	0.32	0.00	189.38
29	**-5	5.00	17.2000	80577.60	80577.60	80577.60	0.32	80577.60	0.32	0.00	196.77
30	**-6	5.00	18.0900	80220.80	80220.80	80220.80	0.32	80220.80	0.32	0.00	204.14
31	**-7	5.00	17.9800	86464.00	86464.00	86464.00	0.30	86464.00	0.30	0.00	211.54
32	**-8	5.00	17.3300	85119.20	85119.20	85119.20	0.31	85119.20	0.31	0.00	218.92
33	**-9	5.00	17.1700	83684.00	83684.00	83684.00	0.31	83684.00	0.31	0.00	226.29
34	**-10	5.00	18.0900	87655.40	87655.40	87655.40	0.30	87655.40	0.30	0.00	233.69
35	**-11	5.00	18.0200	85146.80	85146.80	85146.80	0.31	85146.80	0.31	0.00	241.06
37	**-1	5.00	17.2500	83331.40	83331.40	83331.40	0.31	83331.40	0.31	0.00	248.67
38	**-2	5.00	17.3000	86611.40	86611.40	86611.40	0.30	86611.40	0.30	0.00	256.06
39	**-3	5.00	18.0700	80547.80	80547.80	80547.80	0.32	80547.80	0.32	0.00	263.42
40	**-4	5.00	4.1560	8616.40	8616.40	8616.40	0.96	8616.40	0.96	0.08	270.64
41	**-5	5.00	18.1500	86951.00	86951.00	86951.00	0.30	86951.00	0.30	0.00	277.97
42	**-6	5.00	17.0900	78744.60	78744.60	78744.60	0.32	78744.60	0.32	0.00	285.33
43	**-7	5.00	17.2000	83280.00	83280.00	83280.00	0.31	83280.00	0.31	0.00	292.70
