Instrument Type				LS 6000							
Data Capture Date				20 Oct 2014 16:21:26							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD0614F.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	4.0520	8260.60	8260.60	8260.60	0.98	8260.60	0.98	0.08	5.46
2	**-2	5.00	18.2100	86658.40	86658.40	86658.40	0.30	86658.40	0.30	0.02	12.79
3	**-3	5.00	18.1900	84530.20	84530.20	84530.20	0.31	84530.20	0.31	0.03	20.18
4	**-4	5.00	17.1000	84883.40	84883.40	84883.40	0.31	84883.40	0.31	0.00	27.53
5	**-5	5.00	17.1100	81306.20	81306.20	81306.20	0.31	81306.20	0.31	0.00	34.89
6	**-6	5.00	18.1500	86317.60	86317.60	86317.60	0.30	86317.60	0.30	0.02	42.28
7	**-7	5.00	18.1900	86891.20	86891.20	86891.20	0.30	86891.20	0.30	0.02	49.70
8	**-8	5.00	17.0100	84024.00	84024.00	84024.00	0.31	84024.00	0.31	0.00	57.06
9	**-9	5.00	17.1900	84592.00	84592.00	84592.00	0.31	84592.00	0.31	0.00	64.43
