Start Time:	10/24/2014 2:35:50 PM
Units:	Deg C
Thermocouple:	J
Device:	019811EA
Logging Interval:	1 second(s)
Description:	Room temperature water, placed in ice bath at 2:36:00 PM, with no lid and thermocouple in,


Time	Temp
2:35:51 PM	17.8
2:35:52 PM	17.8
2:35:53 PM	17.9
2:35:54 PM	17.9
2:35:55 PM	17.9
2:35:56 PM	19.0
2:35:57 PM	19.5
2:35:58 PM	19.6
2:35:59 PM	19.7
2:36:00 PM	19.7
2:36:01 PM	19.7
2:36:02 PM	19.8
2:36:03 PM	19.8
2:36:05 PM	19.8
2:36:06 PM	20.0
2:36:07 PM	19.8
2:36:08 PM	20.0
2:36:09 PM	20.4
2:36:10 PM	20.8
2:36:11 PM	21.4
