Instrument Type				LS 6000							
Data Capture Date				22 Oct 2014 17:53:51							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADDCA63.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	4.0690	8247.40	8247.40	8247.40	0.98	8247.40	0.98	0.08	5.46
2	**-2	5.00	12.0700	78505.80	78505.80	78505.80	0.32	78505.80	0.32	0.02	12.75
3	**-3	5.00	12.0900	76292.00	76292.00	76292.00	0.32	76292.00	0.32	0.02	20.10
4	**-4	5.00	11.1600	74307.00	74307.00	74307.00	0.33	74307.00	0.33	0.00	27.44
5	**-5	5.00	11.2000	76351.40	76351.40	76351.40	0.32	76351.40	0.32	0.00	34.78
6	**-6	5.00	12.1300	72400.60	72400.60	72400.60	0.33	72400.60	0.33	0.02	42.13
7	**-7	5.00	12.2500	78940.60	78940.60	78940.60	0.32	78940.60	0.32	0.02	49.50
8	**-8	5.00	11.3100	69639.40	69639.40	69639.40	0.34	69639.40	0.34	0.00	56.83
9	**-9	5.00	11.1400	69554.00	69554.00	69554.00	0.34	69554.00	0.34	0.00	64.17
10	**-10	5.00	11.3600	73962.00	73962.00	73962.00	0.33	73962.00	0.33	0.02	71.50
11	**-11	5.00	11.3000	74313.80	74313.80	74313.80	0.33	74313.80	0.33	0.02	78.87
13	**-1	5.00	12.0600	75719.60	75719.60	75719.60	0.33	75719.60	0.33	0.02	86.36
14	**-2	5.00	4.1480	8634.60	8634.60	8634.60	0.96	8634.60	0.96	0.08	93.58
15	**-3	5.00	12.1300	76833.60	76833.60	76833.60	0.32	76833.60	0.32	0.02	100.88
16	**-4	5.00	18.0900	80616.80	80616.80	80616.80	0.32	80616.80	0.32	0.00	108.25
17	**-5	5.00	18.0000	79230.60	79230.60	79230.60	0.32	79230.60	0.32	0.00	115.64
18	**-6	5.00	16.9100	84586.80	84586.80	84586.80	0.31	84586.80	0.31	0.00	123.01
19	**-7	5.00	16.8600	78423.20	78423.20	78423.20	0.32	78423.20	0.32	0.00	130.38
20	**-8	5.00	18.2100	86119.00	86119.00	86119.00	0.30	86119.00	0.30	0.00	137.78
21	**-9	5.00	18.0000	81762.80	81762.80	81762.80	0.31	81762.80	0.31	0.00	145.16
22	**-10	5.00	16.8900	81265.20	81265.20	81265.20	0.31	81265.20	0.31	0.00	152.53
23	**-11	5.00	17.0400	88302.20	88302.20	88302.20	0.30	88302.20	0.30	0.00	159.93
25	**-1	5.00	18.2600	85677.20	85677.20	85677.20	0.31	85677.20	0.31	0.00	167.43
26	**-2	5.00	18.3600	87727.20	87727.20	87727.20	0.30	87727.20	0.30	0.02	174.84
27	**-3	5.00	4.2070	8662.60	8662.60	8662.60	0.96	8662.60	0.96	0.08	182.08
28	**-4	5.00	16.8500	78312.60	78312.60	78312.60	0.32	78312.60	0.32	0.00	189.38
29	**-5	5.00	16.7800	83466.00	83466.00	83466.00	0.31	83466.00	0.31	0.00	196.75
30	**-6	5.00	18.3200	85004.20	85004.20	85004.20	0.31	85004.20	0.31	0.02	204.14
31	**-7	5.00	18.4100	86482.20	86482.20	86482.20	0.30	86482.20	0.30	0.02	211.54
32	**-8	5.00	16.8700	84136.60	84136.60	84136.60	0.31	84136.60	0.31	0.00	218.94
33	**-9	5.00	16.9700	81090.80	81090.80	81090.80	0.31	81090.80	0.31	0.00	226.28
34	**-10	5.00	18.3300	86095.60	86095.60	86095.60	0.30	86095.60	0.30	0.02	233.70
35	**-11	5.00	18.2700	83740.00	83740.00	83740.00	0.31	83740.00	0.31	0.02	241.11
37	**-1	5.00	17.1200	84917.00	84917.00	84917.00	0.31	84917.00	0.31	0.00	248.64
38	**-2	5.00	17.1000	84068.80	84068.80	84068.80	0.31	84068.80	0.31	0.02	256.02
39	**-3	5.00	17.6700	81133.00	81133.00	81133.00	0.31	81133.00	0.31	0.03	263.43
40	**-4	5.00	4.1570	8555.20	8555.20	8555.20	0.97	8555.20	0.97	0.08	270.66
41	**-5	5.00	17.6800	84593.60	84593.60	84593.60	0.31	84593.60	0.31	0.03	278.02
